"Speaker Name","Title","Date of Speech Delivered","URL to Speech"
"David Cameron","PM speech on the UK's strength and security in the EU: 9 May 2016 (Archived)","9 May 2016","https://www.gov.uk/government/speeches/pm-speech-on-the-uks-strength-and-security-in-the-eu-9-may-2016"
"David Cameron","PM press conference with Enda Kenny: January 2016","25 January 2016","https://www.gov.uk/government/speeches/pm-press-conference-with-enda-kenny-january-2016"
"David Cameron","G20 Summit: PM press conference","16 November 2015","https://www.gov.uk/government/speeches/g20-summit-pm-press-conference"
"David Cameron","PM Commons statement on Panama Papers: 11 April 2016","11 April 2016","https://www.gov.uk/government/speeches/pm-commons-statement-on-panama-papers-11-april-2016"
"David Cameron","On Europe even we can agree: for British workers it’s better in - article by David Cameron and Sir Brendan Barber (Archived)","28 April 2016","https://www.gov.uk/government/speeches/on-europe-even-we-can-agree-for-british-workers-its-better-in-article-by-david-cameron-and-brendan-barber"
"David Cameron","Prime Minister’s speech with Chancellor Merkel in Hamburg: 12 February 2016","12 February 2016","https://www.gov.uk/government/speeches/prime-ministers-speech-with-chancellor-merkel-in-hamburg-12-february-2016"
"David Cameron","PM's opening remarks at Supporting Syria conference: 4 February 2016","4 February 2016","https://www.gov.uk/government/speeches/pms-opening-remarks-at-supporting-syria-conference-4-february-2016"
"David Cameron","PM speech on immigration","21 May 2015","https://www.gov.uk/government/speeches/pm-speech-on-immigration"
"David Cameron","PM speech on opportunity","22 June 2015","https://www.gov.uk/government/speeches/pm-speech-on-opportunity"
"David Cameron","PM at 2015 Global Security Forum","19 June 2015","https://www.gov.uk/government/speeches/pm-at-2015-global-security-forum"
"David Cameron","Syria: refugees and counter-terrorism - Prime Minister's statement","7 September 2015","https://www.gov.uk/government/speeches/syria-refugees-and-counter-terrorism-prime-ministers-statement"
"David Cameron","PM Commons statement on Panama Papers: 11 April 2016","11 April 2016","https://www.gov.uk/government/speeches/pm-commons-statement-on-panama-papers-11-april-2016"
"David Cameron","PM's address to HMS Bulwark: full speech","11 November 2015","https://www.gov.uk/government/speeches/pm-addresses-crew-of-hms-bulwark-in-malta"
"David Cameron","PM Commons statement on the European Council: 29 June 2016","29 June 2016","https://www.gov.uk/government/speeches/pm-commons-statement-on-the-european-council-29-june-2016"
"David Cameron","PM Commons statement on the result of the EU referendum: 27 June 2016","27 June 2016","https://www.gov.uk/government/speeches/pm-commons-statement-on-the-result-of-the-eu-referendum-27-june-2016"
"David Cameron","Muslim Brotherhood review: statement by the Prime Minister","17 December 2015","https://www.gov.uk/government/speeches/muslim-brotherhood-review-statement-by-the-prime-minister"
"David Cameron","G7 2016 in Japan: PM press statement","27 May 2016","https://www.gov.uk/government/speeches/g7-2016-in-japan-pm-press-statement"
"David Cameron","European Council meeting: Prime Minister's statement","5 January 2016","https://www.gov.uk/government/speeches/european-council-meeting-prime-ministers-statement"
"David Cameron","Britain's choice: economic security with the EU, or a leap into the dark (Archived)","5 April 2016","https://www.gov.uk/government/speeches/britains-choice-economic-security-with-the-eu-or-a-leap-into-the-dark"
"David Cameron","EU referendum outcome: PM statement, 24 June 2016","24 June 2016","https://www.gov.uk/government/speeches/eu-referendum-outcome-pm-statement-24-june-2016"
"David Cameron","Prime Minister’s speech at Farnborough Air Show","11 July 2016","https://www.gov.uk/government/speeches/prime-ministers-speech-at-farnborough-air-show"
"David Cameron","PM press statement following Paris talks","23 November 2015","https://www.gov.uk/government/speeches/pm-press-statement-following-paris-talks"
"David Cameron","Anti-Corruption Summit 2016: PM's closing remarks","12 May 2016","https://www.gov.uk/government/speeches/anti-corruption-summit-2016-pms-closing-remarks"
"David Cameron","Her Majesty The Queen's 90th birthday: Prime Minister's Humble Address","21 April 2016","https://www.gov.uk/government/speeches/her-majesty-the-queens-90th-birthday-prime-ministers-humble-address"
"David Cameron","David Cameron's immigration speech","25 March 2013","https://www.gov.uk/government/speeches/david-camerons-immigration-speech"
"David Cameron","David Cameron's speech to the UN","15 May 2013","https://www.gov.uk/government/speeches/david-camerons-speech-to-un"
"David Cameron","Election 2015: Prime Minister's speech","8 May 2015","https://www.gov.uk/government/speeches/election-2015-prime-ministers-speech"
"David Cameron","PM press statement following Paris talks","23 November 2015","https://www.gov.uk/government/speeches/pm-press-statement-following-paris-talks"
"David Cameron","Prime Minister: My vision for a smarter state","11 September 2015","https://www.gov.uk/government/speeches/prime-minister-my-vision-for-a-smarter-state"
"David Cameron","PM speech at easyJet on why the UK should stay in a reformed EU (Archived)","24 May 2016","https://www.gov.uk/government/speeches/pm-speech-at-easyjet-on-why-the-uk-should-stay-in-a-reformed-eu"
